=== gen_modules.py run started 2026-06-16 12:54:44 ===
[12:54:44] INFO  Pool      : generated3
[12:54:44] INFO  Output    : C:\Users\Benji\fabled\userinput\modules\generated3
[12:54:44] INFO  Max hours : 8.0  |  Target modules: 500
[12:54:44] INFO  Seed      : None
[12:54:44] INFO  Quit: type 'q' + Enter,  or  create file 'userinput/gen_stop.flag'
[12:54:44] INFO  No gallery_ratings.json found — using default weights
[12:54:44] INFO  Starting — initial threshold 0.58
[12:54:44] INFO  Phases: [(0, 0.58), (500, 0.87), (700, 0.91)]
[12:54:44] INFO  SAVE #  39 | score=0.896 str=two_corners        | ent=4 (N,N,S,S) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  40 | score=0.923 str=free               | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE #  41 | score=0.928 str=corner_room        | ent=2 (W,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  42 | score=0.973 str=two_rooms          | ent=2 (N,S    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  43 | score=0.822 str=room_large         | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=0.35 | pc= 1
[12:54:44] INFO  SAVE #  44 | score=0.858 str=room_wide          | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE #  45 | score=0.955 str=two_rooms          | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  46 | score=0.811 str=four_rooms         | ent=1 (N      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  47 | score=0.824 str=room_with_walls    | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=0.35 | pc= 3
[12:54:44] INFO  SAVE #  48 | score=0.955 str=two_rooms          | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  49 | score=0.941 str=room_small_ctr     | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  50 | score=0.928 str=room_small_corn    | ent=2 (W,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  51 | score=0.937 str=room_wide          | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE #  52 | score=0.928 str=room_small_ctr     | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  53 | score=0.923 str=room_wide          | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  54 | score=0.875 str=hub_center         | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  55 | score=0.886 str=room_wide          | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  56 | score=0.928 str=room_small_ctr     | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  57 | score=0.910 str=room_small_corn    | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  58 | score=0.941 str=room_small_ctr     | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  59 | score=0.919 str=four_rooms         | ent=2 (W,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  60 | score=0.796 str=room_with_walls    | ent=1 (S      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE #  61 | score=0.888 str=hub_center         | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  62 | score=0.918 str=corridor_hub       | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
