=== gen_modules.py run started 2026-06-17 03:51:08 ===
[03:51:08] INFO  Pool      : generated
[03:51:08] INFO  Output    : C:\Users\Benji\fabled\userinput\modules\generated
[03:51:08] INFO  Max hours : 8.0  |  Target modules: 300
[03:51:08] INFO  Seed      : 2026
[03:51:08] INFO  Quit: type 'q' + Enter,  or  create file 'userinput/gen_stop.flag'
[03:51:08] INFO  Initial threshold: 0.58  weights: {}
[03:51:08] INFO  Starting — initial threshold 0.58
[03:51:08] INFO  Phases: [(0, 0.58), (300, 0.87), (500, 0.91)]
[03:51:08] INFO  SAVE #  40 | score=0.918 str=planned            | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc=14
[03:51:08] INFO  SAVE #  41 | score=0.900 str=planned            | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[03:51:08] INFO  SAVE #  42 | score=0.957 str=planned            | ent=2 (S,N    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  43 | score=0.942 str=planned            | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE #  44 | score=0.953 str=planned            | ent=3 (S,N,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE #  45 | score=0.918 str=planned            | ent=2 (W,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[03:51:08] INFO  SAVE #  46 | score=0.842 str=planned            | ent=1 (W      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[03:51:08] INFO  SAVE #  47 | score=0.952 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE #  48 | score=0.952 str=planned            | ent=3 (N,E,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE #  49 | score=0.930 str=planned            | ent=2 (W,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  50 | score=0.921 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[03:51:08] INFO  SAVE #  51 | score=0.952 str=planned            | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE #  52 | score=0.952 str=planned            | ent=3 (S,N,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE #  53 | score=0.953 str=planned            | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc=11
[03:51:08] INFO  SAVE #  54 | score=0.964 str=planned            | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE #  55 | score=0.980 str=planned            | ent=3 (S,N,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc=10
[03:51:08] INFO  SAVE #  56 | score=0.896 str=planned            | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE #  57 | score=0.969 str=planned            | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  58 | score=0.926 str=planned            | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE #  59 | score=0.929 str=planned            | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[03:51:08] INFO  SAVE #  60 | score=0.925 str=planned            | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE #  61 | score=0.904 str=planned            | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc=11
[03:51:08] INFO  SAVE #  62 | score=0.923 str=planned            | ent=3 (S,N,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE #  63 | score=0.942 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE #  64 | score=0.947 str=planned            | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  65 | score=0.957 str=planned            | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  66 | score=0.947 str=planned            | ent=3 (S,N,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  67 | score=0.947 str=planned            | ent=3 (N,E,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  68 | score=0.953 str=planned            | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE #  69 | score=0.909 str=planned            | ent=2 (S,N    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  70 | score=0.947 str=planned            | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  71 | score=0.918 str=planned            | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
